Frete Carreteiro,Data Saída,ORIGEN,DESTINO,KM,Mês,Lat_Origem,Lng_Origem,Lat_Destino,Lng_Destino,Trimestre,Ano,Valor_por_km,Sintético
240.0,15/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.48096192384769537,0
235.0,22/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,29/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,29/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,29/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,29/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,29/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,29/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,29/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,29/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,29/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,30/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,30/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,30/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,30/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,30/9/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,9,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,3,2022,0.4709418837675351,0
235.0,5/10/2022,"-25.787871267069143, -55.089498685161324","-26.87499259834611, -52.409629937183546",499,10,-25.787871267069143,-55.089498685161324,-26.87499259834611,-52.409629937183546,4,2022,0.4709418837675351,0
